customer_id,tenure_months,contract,internet_service,tech_support,online_security,payment_method,monthly_charges,cltv,churn_value,predicted_churn,churn_probability,risk_segment
8972-HJWNV,7,Month-to-month,Fiber optic,No,No,Electronic check,84.55,5245,1,1,0.9269,Very High Risk
8098-LLAZX,4,Month-to-month,Fiber optic,No,No,Electronic check,95.45,3677,1,1,0.9269,Very High Risk
6108-OQZDQ,4,Month-to-month,Fiber optic,No,No,Electronic check,97.95,2570,1,1,0.9268,Very High Risk
4910-GMJOT,1,Month-to-month,Fiber optic,No,No,Electronic check,94.6,4033,1,1,0.9261,Very High Risk
0295-PPHDO,1,Month-to-month,Fiber optic,No,No,Electronic check,95.45,5962,1,1,0.9261,Very High Risk
4952-YSOGZ,4,Month-to-month,Fiber optic,No,No,Electronic check,85.95,5640,1,1,0.9258,Very High Risk
2012-NWRPA,11,Month-to-month,Fiber optic,No,No,Electronic check,99.55,3172,1,1,0.9256,Very High Risk
8149-RSOUN,1,Month-to-month,Fiber optic,No,No,Electronic check,93.85,3014,1,1,0.9253,Very High Risk
8775-LHDJH,1,Month-to-month,Fiber optic,No,No,Electronic check,90.6,2905,1,1,0.925,Very High Risk
2656-TABEH,4,Month-to-month,Fiber optic,No,No,Electronic check,100.2,2650,1,1,0.9247,Very High Risk
3489-HHPFY,2,Month-to-month,Fiber optic,No,No,Electronic check,84.05,2115,0,1,0.9247,Very High Risk
9061-TIHDA,13,Month-to-month,Fiber optic,No,No,Electronic check,95.25,2982,1,1,0.9237,Very High Risk
4102-OQUPX,1,Month-to-month,Fiber optic,No,No,Electronic check,74.4,5429,1,1,0.9232,Very High Risk
6521-YYTYI,1,Month-to-month,Fiber optic,No,No,Electronic check,93.3,2578,1,1,0.9231,Very High Risk
0187-QSXOE,7,Month-to-month,Fiber optic,No,No,Electronic check,89.0,5711,0,1,0.9227,Very High Risk
2982-VPSGI,11,Month-to-month,Fiber optic,No,No,Electronic check,94.0,2120,1,1,0.9226,Very High Risk
3158-MOERK,2,Month-to-month,Fiber optic,No,No,Electronic check,96.0,3391,1,1,0.9224,Very High Risk
6513-EECDB,1,Month-to-month,Fiber optic,No,No,Electronic check,73.55,4369,1,1,0.9223,Very High Risk
5383-MMTWC,8,Month-to-month,Fiber optic,No,No,Electronic check,84.0,4819,1,1,0.9222,Very High Risk
7851-WZEKY,2,Month-to-month,Fiber optic,No,No,Electronic check,95.15,2414,1,1,0.9221,Very High Risk
0723-DRCLG,1,Month-to-month,Fiber optic,No,No,Electronic check,74.45,2394,1,1,0.9215,Very High Risk
9134-CEQMF,7,Month-to-month,Fiber optic,No,No,Electronic check,89.5,3077,1,1,0.9208,Very High Risk
1455-UGQVH,10,Month-to-month,Fiber optic,No,No,Electronic check,98.5,4501,1,1,0.9205,Very High Risk
9057-SIHCH,3,Month-to-month,Fiber optic,No,No,Electronic check,96.6,3260,1,1,0.9203,Very High Risk
2265-CYWIV,4,Month-to-month,Fiber optic,No,Yes,Electronic check,99.6,4708,1,1,0.9203,Very High Risk
7668-XCFYV,17,Month-to-month,Fiber optic,No,No,Electronic check,92.55,3689,0,1,0.9196,Very High Risk
5192-EBGOV,1,Month-to-month,Fiber optic,No,No,Electronic check,85.7,4880,1,1,0.9194,Very High Risk
2545-EBUPK,2,Month-to-month,Fiber optic,No,No,Electronic check,84.05,5039,0,1,0.9194,Very High Risk
4927-WWOOZ,2,Month-to-month,Fiber optic,No,No,Electronic check,91.45,4889,0,1,0.9193,Very High Risk
0897-FEGMU,11,Month-to-month,Fiber optic,No,No,Electronic check,99.5,5286,1,1,0.9192,Very High Risk
3319-DWOEP,6,Month-to-month,Fiber optic,No,No,Electronic check,95.75,5750,1,1,0.9188,Very High Risk
1069-XAIEM,1,Month-to-month,Fiber optic,No,No,Electronic check,85.05,2975,1,1,0.9184,Very High Risk
5277-ZLOOR,2,Month-to-month,Fiber optic,No,No,Electronic check,85.55,5512,1,1,0.9183,Very High Risk
0107-YHINA,1,Month-to-month,Fiber optic,No,No,Electronic check,99.75,4214,1,1,0.9181,Very High Risk
5419-JPRRN,1,Month-to-month,Fiber optic,No,No,Electronic check,101.45,4390,1,1,0.9175,Very High Risk
3902-FOIGH,12,Month-to-month,Fiber optic,No,No,Electronic check,101.35,3967,1,1,0.9175,Very High Risk
7225-CBZPL,17,Month-to-month,Fiber optic,No,No,Electronic check,94.8,4831,0,1,0.9168,Very High Risk
3727-RJMEO,6,Month-to-month,Fiber optic,No,No,Electronic check,82.85,4458,1,1,0.9167,Very High Risk
4587-VVTOX,6,Month-to-month,Fiber optic,No,No,Electronic check,105.3,4163,1,1,0.9165,Very High Risk
1415-YFWLT,1,Month-to-month,Fiber optic,No,No,Electronic check,89.3,3067,1,1,0.9164,Very High Risk
7398-SKNQZ,3,Month-to-month,Fiber optic,No,No,Electronic check,94.9,2330,0,1,0.9161,Very High Risk
6688-UZPWD,11,Month-to-month,Fiber optic,No,No,Electronic check,102.0,5750,1,1,0.9161,Very High Risk
7779-LGOVN,10,Month-to-month,Fiber optic,No,No,Electronic check,86.65,4990,1,1,0.916,Very High Risk
7180-PISOG,1,Month-to-month,Fiber optic,No,No,Electronic check,74.5,5554,1,1,0.9156,Very High Risk
6023-YEBUP,3,Month-to-month,Fiber optic,No,No,Electronic check,100.95,5351,1,1,0.9154,Very High Risk
4086-YQSNZ,3,Month-to-month,Fiber optic,No,No,Electronic check,80.4,3834,1,1,0.9152,Very High Risk
3452-GWUIN,19,Month-to-month,Fiber optic,No,No,Electronic check,94.95,5316,0,1,0.9151,Very High Risk
1925-TIBLE,7,Month-to-month,Fiber optic,No,No,Electronic check,86.5,3887,1,1,0.9145,Very High Risk
3988-RQIXO,1,Month-to-month,Fiber optic,No,No,Electronic check,91.3,2371,1,1,0.9145,Very High Risk
8382-SHQEH,8,Month-to-month,Fiber optic,No,No,Electronic check,84.9,2656,1,1,0.9144,Very High Risk
7181-BQYBV,1,Month-to-month,Fiber optic,No,Yes,Electronic check,102.45,4811,1,1,0.9143,Very High Risk
3621-CEOVK,14,Month-to-month,Fiber optic,No,No,Electronic check,100.2,3369,1,1,0.9141,Very High Risk
8161-QYMTT,7,Month-to-month,Fiber optic,No,No,Electronic check,94.1,5259,0,1,0.9141,Very High Risk
5956-VKDTT,5,Month-to-month,Fiber optic,No,No,Electronic check,74.35,5273,1,1,0.914,Very High Risk
9282-IZGQK,1,Month-to-month,Fiber optic,No,No,Electronic check,85.0,5679,1,1,0.9138,Very High Risk
8992-JQYUN,1,Month-to-month,DSL,No,No,Electronic check,50.35,4526,1,1,0.9138,Very High Risk
4822-RVYBB,8,Month-to-month,Fiber optic,No,No,Electronic check,100.6,5906,1,1,0.9136,Very High Risk
1075-BGWOH,16,Month-to-month,Fiber optic,No,No,Electronic check,98.75,3392,1,1,0.9134,Very High Risk
2660-EMUBI,10,Month-to-month,Fiber optic,No,No,Electronic check,95.35,5353,1,1,0.9131,Very High Risk
9681-OXGVC,5,Month-to-month,Fiber optic,No,No,Electronic check,100.5,5180,1,1,0.9129,Very High Risk
6496-SLWHQ,3,Month-to-month,Fiber optic,No,No,Electronic check,105.0,5960,1,1,0.9127,Very High Risk
4192-GORJT,5,Month-to-month,Fiber optic,No,No,Electronic check,94.45,4580,1,1,0.9126,Very High Risk
1626-ERCMM,20,Month-to-month,Fiber optic,No,No,Electronic check,94.55,5604,1,1,0.9123,Very High Risk
2446-BEGGB,6,Month-to-month,Fiber optic,No,No,Electronic check,98.25,3330,1,1,0.9121,Very High Risk
3643-AHCFP,7,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),95.6,3265,1,1,0.9115,Very High Risk
8337-UPOAQ,10,Month-to-month,Fiber optic,No,No,Electronic check,89.8,5124,1,1,0.9114,Very High Risk
4750-ZRXIU,4,Month-to-month,Fiber optic,No,No,Electronic check,84.6,2467,1,1,0.9111,Very High Risk
4695-WJZUE,2,Month-to-month,Fiber optic,No,No,Electronic check,88.55,3685,1,1,0.9109,Very High Risk
0318-QUUOB,1,Month-to-month,Fiber optic,No,No,Electronic check,80.55,4273,1,1,0.9108,Very High Risk
4626-GYCZP,7,Month-to-month,Fiber optic,No,No,Electronic check,93.85,3506,1,1,0.9104,Very High Risk
3519-ZKXGG,3,Month-to-month,Fiber optic,No,No,Electronic check,75.85,4062,1,1,0.9103,Very High Risk
8603-IJWDN,1,Month-to-month,Fiber optic,No,No,Electronic check,86.6,5228,1,1,0.9102,Very High Risk
6100-QQHEB,17,Month-to-month,Fiber optic,No,No,Electronic check,92.55,5775,1,1,0.9099,Very High Risk
3027-ZTDHO,1,Month-to-month,Fiber optic,No,No,Electronic check,89.9,5951,1,1,0.9095,Very High Risk
7577-SWIFR,1,Month-to-month,Fiber optic,No,No,Electronic check,89.25,5579,0,1,0.9093,Very High Risk
3068-OMWZA,1,Month-to-month,Fiber optic,No,No,Electronic check,88.8,3106,1,1,0.9093,Very High Risk
0781-LKXBR,9,Month-to-month,Fiber optic,No,No,Electronic check,100.5,4038,1,1,0.909,Very High Risk
6892-EZDTG,4,Month-to-month,Fiber optic,No,No,Electronic check,91.65,2140,1,1,0.9089,Very High Risk
2506-TNFCO,1,Month-to-month,Fiber optic,No,No,Electronic check,69.55,5948,1,1,0.9086,Very High Risk
0970-ETWGE,1,Month-to-month,Fiber optic,No,No,Electronic check,89.55,4996,1,1,0.9084,Very High Risk
4912-PIGUY,1,Month-to-month,Fiber optic,No,No,Electronic check,84.6,2196,0,1,0.9084,Very High Risk
7943-RQCHR,9,Month-to-month,Fiber optic,No,No,Electronic check,94.75,2893,1,1,0.9081,Very High Risk
3722-WPXTK,1,Month-to-month,Fiber optic,No,No,Electronic check,88.35,4254,1,1,0.908,Very High Risk
9725-SCPZG,1,Month-to-month,Fiber optic,No,No,Electronic check,90.85,5086,1,1,0.9078,Very High Risk
8622-ZLFKO,6,Month-to-month,Fiber optic,No,No,Electronic check,90.75,4297,0,1,0.9076,Very High Risk
9897-KXHCM,3,Month-to-month,Fiber optic,No,No,Electronic check,80.3,3212,1,1,0.9076,Very High Risk
2865-TCHJW,4,Month-to-month,Fiber optic,No,No,Electronic check,89.2,5808,1,1,0.9072,Very High Risk
0880-TKATG,4,Month-to-month,Fiber optic,No,No,Electronic check,101.15,4417,1,1,0.9071,Very High Risk
0564-JJHGS,9,Month-to-month,Fiber optic,No,No,Electronic check,95.5,5007,1,1,0.9069,Very High Risk
6474-FVJLC,2,Month-to-month,Fiber optic,No,No,Electronic check,86.0,4546,1,1,0.9069,Very High Risk
0679-IDSTG,1,Month-to-month,Fiber optic,No,No,Electronic check,69.25,4568,1,1,0.9069,Very High Risk
3793-MMFUH,13,Month-to-month,Fiber optic,No,No,Electronic check,95.05,2230,1,1,0.9066,Very High Risk
3096-GKWEB,18,Month-to-month,Fiber optic,No,No,Electronic check,94.75,4477,0,1,0.9064,Very High Risk
0195-IESCP,10,Month-to-month,Fiber optic,No,No,Electronic check,85.25,3573,1,1,0.9064,Very High Risk
7249-WBIYX,10,Month-to-month,Fiber optic,No,No,Electronic check,85.6,5146,1,1,0.9064,Very High Risk
7274-RTAPZ,1,Month-to-month,Fiber optic,No,No,Electronic check,90.55,3898,1,1,0.9063,Very High Risk
2034-GDRCN,2,Month-to-month,Fiber optic,No,No,Electronic check,90.4,4157,1,1,0.9062,Very High Risk
1143-NMNQJ,2,Month-to-month,Fiber optic,No,No,Electronic check,85.7,2187,1,1,0.9062,Very High Risk
1455-ESIQH,1,Month-to-month,Fiber optic,No,No,Electronic check,89.1,2905,1,1,0.9057,Very High Risk
2929-ERCFZ,8,Month-to-month,Fiber optic,No,No,Electronic check,94.2,2939,1,1,0.9055,Very High Risk
8593-WHYHV,3,Month-to-month,Fiber optic,No,No,Electronic check,85.3,4934,1,1,0.9055,Very High Risk
0259-GBZSH,2,Month-to-month,Fiber optic,No,No,Electronic check,85.65,3878,1,1,0.9055,Very High Risk
0021-IKXGC,1,Month-to-month,Fiber optic,No,No,Electronic check,72.1,4432,0,1,0.9054,Very High Risk
7341-LXCAF,4,Month-to-month,Fiber optic,No,No,Electronic check,74.65,4013,1,1,0.9051,Very High Risk
1273-MTETI,4,Month-to-month,Fiber optic,No,No,Electronic check,88.85,2754,1,1,0.9048,Very High Risk
1833-VGRUM,1,Month-to-month,Fiber optic,No,No,Electronic check,74.2,4684,1,1,0.9046,Very High Risk
1724-BQUHA,5,Month-to-month,Fiber optic,No,No,Electronic check,89.5,2718,1,1,0.9046,Very High Risk
1363-TXLSL,1,Month-to-month,Fiber optic,No,No,Electronic check,70.3,4962,1,1,0.9046,Very High Risk
9189-JWSHV,24,Month-to-month,Fiber optic,No,No,Electronic check,93.55,4937,1,1,0.9044,Very High Risk
2077-MPJQO,7,Month-to-month,Fiber optic,No,No,Electronic check,75.4,3533,0,1,0.9044,Very High Risk
0680-DFNNY,15,Month-to-month,Fiber optic,No,No,Electronic check,101.1,2055,1,1,0.9043,Very High Risk
4847-TAJYI,6,Month-to-month,Fiber optic,No,No,Electronic check,89.35,2578,0,1,0.9042,Very High Risk
3097-NQYSN,2,Month-to-month,Fiber optic,No,No,Mailed check,86.85,5204,1,1,0.9039,Very High Risk
8473-VUVJN,1,Month-to-month,Fiber optic,No,No,Electronic check,73.65,5443,1,1,0.9037,Very High Risk
3389-YGYAI,8,Month-to-month,Fiber optic,No,No,Electronic check,105.5,5546,1,1,0.9036,Very High Risk
5955-ERIHD,18,Month-to-month,Fiber optic,No,No,Electronic check,94.7,2206,1,1,0.9032,Very High Risk
0702-PGIBZ,4,Month-to-month,Fiber optic,No,No,Electronic check,101.7,2777,1,1,0.9031,Very High Risk
8414-MYSHR,5,Month-to-month,Fiber optic,No,No,Electronic check,91.4,2834,1,1,0.903,Very High Risk
9611-CTWIH,3,Month-to-month,Fiber optic,No,No,Electronic check,89.45,3591,1,1,0.9029,Very High Risk
5565-FILXA,16,Month-to-month,Fiber optic,No,No,Electronic check,96.15,5913,1,1,0.9027,Very High Risk
6894-LFHLY,1,Month-to-month,Fiber optic,No,No,Electronic check,75.75,5571,1,1,0.9027,Very High Risk
9957-YODKZ,6,Month-to-month,Fiber optic,No,No,Electronic check,80.8,5611,0,1,0.9024,Very High Risk
2959-MJHIC,4,Month-to-month,Fiber optic,No,No,Electronic check,80.35,4167,1,1,0.9022,Very High Risk
9799-CAYJJ,2,Month-to-month,Fiber optic,No,No,Electronic check,69.3,2901,0,1,0.9018,Very High Risk
9546-CQJSU,2,Month-to-month,Fiber optic,No,No,Electronic check,91.4,5100,1,1,0.9017,Very High Risk
9334-GWGOW,7,Month-to-month,Fiber optic,No,No,Electronic check,74.85,2259,0,1,0.9017,Very High Risk
6567-HOOPW,1,Month-to-month,Fiber optic,No,No,Electronic check,79.2,4363,1,1,0.9014,Very High Risk
4988-IQIGL,1,Month-to-month,Fiber optic,No,No,Electronic check,75.35,4403,1,1,0.9012,Very High Risk
4548-SDBKE,5,Month-to-month,Fiber optic,No,No,Electronic check,85.2,4109,1,1,0.9012,Very High Risk
8739-XNIKG,5,Month-to-month,Fiber optic,No,No,Electronic check,84.0,4456,0,1,0.9011,Very High Risk
8185-UPYBR,6,Month-to-month,Fiber optic,No,No,Electronic check,75.5,5838,1,1,0.901,Very High Risk
2485-ITVKB,2,Month-to-month,DSL,No,No,Electronic check,35.1,2643,1,1,0.9009,Very High Risk
2968-SSGAA,10,Month-to-month,Fiber optic,No,No,Electronic check,100.6,4001,1,1,0.9009,Very High Risk
3318-NMQXL,3,Month-to-month,Fiber optic,No,No,Electronic check,92.0,4345,0,1,0.9008,Very High Risk
3473-XIIIT,16,Month-to-month,Fiber optic,No,No,Electronic check,100.0,3794,1,1,0.9007,Very High Risk
7488-MXJIV,4,Month-to-month,Fiber optic,No,No,Electronic check,85.65,3223,1,1,0.9007,Very High Risk
3320-VEOYC,14,Month-to-month,Fiber optic,No,No,Electronic check,95.6,3502,0,1,0.9006,Very High Risk
7450-NWRTR,12,Month-to-month,Fiber optic,No,No,Electronic check,99.45,2819,1,1,0.9004,Very High Risk
4795-KTRTH,5,Month-to-month,Fiber optic,No,No,Electronic check,81.0,4287,1,1,0.9004,Very High Risk
3551-HUAZH,1,Month-to-month,Fiber optic,No,No,Electronic check,74.4,3429,1,1,0.9004,Very High Risk
7932-WPTDS,1,Month-to-month,DSL,No,No,Electronic check,24.8,5377,1,1,0.9003,Very High Risk
6350-XFYGW,4,Month-to-month,Fiber optic,No,No,Electronic check,94.75,2757,0,1,0.9002,Very High Risk
4713-LZDRV,2,Month-to-month,Fiber optic,No,No,Electronic check,79.6,4322,1,1,0.9001,Very High Risk
5240-IJOQT,1,Month-to-month,Fiber optic,No,No,Electronic check,74.7,3348,1,1,0.9001,Very High Risk
8580-AECUZ,1,Month-to-month,Fiber optic,No,No,Electronic check,79.1,5001,1,1,0.9,Very High Risk
3006-XIMLN,2,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),94.2,5299,1,1,0.8998,Very High Risk
9248-OJYKK,1,Month-to-month,Fiber optic,No,No,Electronic check,76.45,3763,1,1,0.8997,Very High Risk
4806-HIPDW,1,Month-to-month,Fiber optic,No,No,Electronic check,68.95,5644,1,1,0.8995,Very High Risk
5519-NPHVG,12,Month-to-month,Fiber optic,No,No,Electronic check,94.2,3975,1,1,0.8994,Very High Risk
4115-NZRKS,7,Month-to-month,Fiber optic,No,No,Electronic check,89.15,2415,0,1,0.8994,Very High Risk
8245-UMPYT,16,Month-to-month,Fiber optic,No,No,Electronic check,96.4,2688,1,1,0.8991,Very High Risk
2636-OHFMN,4,Month-to-month,DSL,No,No,Electronic check,48.55,3955,1,1,0.8988,Very High Risk
5935-FCCNB,17,Month-to-month,Fiber optic,No,No,Electronic check,94.2,4425,0,1,0.8988,Very High Risk
8058-JMEQO,9,Month-to-month,Fiber optic,No,No,Electronic check,84.45,3543,1,1,0.8987,Very High Risk
0684-AOSIH,1,Month-to-month,Fiber optic,No,Yes,Electronic check,95.0,4489,1,1,0.8986,Very High Risk
0697-ZMSWS,4,Month-to-month,Fiber optic,No,No,Electronic check,85.65,2330,1,1,0.8985,Very High Risk
2737-WFVYW,2,Month-to-month,DSL,No,No,Electronic check,45.25,4566,1,1,0.8984,Very High Risk
5868-YWPDW,6,Month-to-month,Fiber optic,No,No,Electronic check,84.2,5834,1,1,0.8982,Very High Risk
2642-DTVCO,9,Month-to-month,Fiber optic,No,No,Electronic check,85.05,5095,1,1,0.8978,Very High Risk
7228-OMTPN,4,Month-to-month,Fiber optic,No,No,Electronic check,88.45,2456,1,1,0.8978,Very High Risk
9965-YOKZB,9,Month-to-month,Fiber optic,No,No,Electronic check,83.85,3723,1,1,0.8976,Very High Risk
6416-TVAIH,1,Month-to-month,Fiber optic,No,No,Electronic check,68.5,5753,1,1,0.8975,Very High Risk
2074-GKOWZ,2,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),89.55,3851,1,1,0.8975,Very High Risk
9919-KNPOO,21,Month-to-month,Fiber optic,No,No,Electronic check,94.3,2058,0,1,0.8973,Very High Risk
2205-YMZZJ,7,Month-to-month,Fiber optic,No,No,Electronic check,84.8,2015,1,1,0.8972,Very High Risk
3198-VELRD,3,Month-to-month,Fiber optic,No,No,Bank transfer (automatic),84.75,2014,1,1,0.8971,Very High Risk
4145-UQXUQ,8,Month-to-month,Fiber optic,No,No,Electronic check,92.1,5662,1,1,0.8964,Very High Risk
7526-BEZQB,12,Month-to-month,Fiber optic,No,No,Electronic check,96.05,2577,1,1,0.8963,Very High Risk
7615-ESMYF,2,Month-to-month,DSL,No,No,Electronic check,44.6,5482,1,1,0.8962,Very High Risk
7218-HKQFK,2,Month-to-month,Fiber optic,Yes,No,Electronic check,94.2,3715,1,1,0.8961,Very High Risk
3811-VBYBZ,7,Month-to-month,Fiber optic,No,No,Electronic check,99.8,2031,1,1,0.896,Very High Risk
0754-UKWQP,2,Month-to-month,Fiber optic,No,No,Electronic check,95.85,3790,1,1,0.8959,Very High Risk
8775-ERLNB,1,Month-to-month,Fiber optic,No,No,Electronic check,74.3,2968,0,1,0.8954,Very High Risk
2990-HWIML,6,Month-to-month,Fiber optic,No,No,Electronic check,89.5,2898,1,1,0.8953,Very High Risk
9185-TQCVP,14,Month-to-month,Fiber optic,No,No,Electronic check,85.15,4550,1,1,0.8953,Very High Risk
1624-NALOJ,5,Month-to-month,Fiber optic,No,No,Electronic check,89.8,2960,1,1,0.8953,Very High Risk
2799-ARNLO,5,Month-to-month,Fiber optic,No,No,Electronic check,69.35,5437,0,1,0.8953,Very High Risk
2845-HSJCY,14,Month-to-month,Fiber optic,No,No,Electronic check,87.25,4786,1,1,0.8949,Very High Risk
4078-SAYYN,11,Month-to-month,Fiber optic,No,No,Electronic check,100.75,2229,1,1,0.8949,Very High Risk
1304-NECVQ,2,Month-to-month,Fiber optic,No,No,Electronic check,78.55,5203,1,1,0.8948,Very High Risk
7384-GHBPI,3,Month-to-month,DSL,No,No,Electronic check,35.15,2987,1,1,0.8947,Very High Risk
4929-XIHVW,2,Month-to-month,Fiber optic,No,No,Credit card (automatic),95.5,4449,0,1,0.8947,Very High Risk
1447-GIQMR,1,Month-to-month,Fiber optic,No,No,Electronic check,69.15,4179,1,1,0.8947,Very High Risk
5445-UTODQ,7,Month-to-month,Fiber optic,No,No,Electronic check,81.1,3238,1,1,0.8946,Very High Risk
4951-UKAAQ,4,Month-to-month,Fiber optic,No,No,Electronic check,88.95,5948,1,1,0.8945,Very High Risk
0236-HFWSV,15,Month-to-month,Fiber optic,No,No,Electronic check,93.35,5264,1,1,0.8944,Very High Risk
9944-HKVVB,3,Month-to-month,Fiber optic,No,No,Electronic check,95.1,5861,1,1,0.8944,Very High Risk
7044-YAACC,4,Month-to-month,Fiber optic,No,No,Electronic check,70.2,4444,0,1,0.8943,Very High Risk
1197-BVMVG,4,Month-to-month,Fiber optic,No,No,Electronic check,74.45,4093,0,1,0.8943,Very High Risk
8816-VXNZD,1,Month-to-month,Fiber optic,No,No,Electronic check,75.1,4335,1,1,0.8942,Very High Risk
2371-JQHZZ,24,Month-to-month,Fiber optic,No,No,Electronic check,93.0,5886,0,1,0.8939,Very High Risk
7321-VGNKU,2,Month-to-month,Fiber optic,No,No,Electronic check,70.35,4917,0,1,0.8938,Very High Risk
5134-IKDAY,1,Month-to-month,Fiber optic,No,No,Electronic check,69.8,2123,1,1,0.8936,Very High Risk
3422-LYEPQ,1,Month-to-month,Fiber optic,No,No,Electronic check,71.0,4207,1,1,0.8936,Very High Risk
3776-EKTKM,1,Month-to-month,DSL,No,No,Electronic check,36.45,5303,1,1,0.8936,Very High Risk
8835-VSDSE,2,Month-to-month,Fiber optic,No,No,Electronic check,70.7,4559,1,1,0.8935,Very High Risk
7363-QTBIW,9,Month-to-month,Fiber optic,No,No,Electronic check,79.75,4654,0,1,0.8935,Very High Risk
9231-ZJYAM,4,Month-to-month,Fiber optic,No,No,Electronic check,78.85,5301,1,1,0.8933,Very High Risk
5834-ASPWA,1,Month-to-month,Fiber optic,No,No,Electronic check,75.45,5518,1,1,0.8933,Very High Risk
2004-OCQXK,1,Month-to-month,Fiber optic,No,No,Electronic check,81.95,5622,1,1,0.8932,Very High Risk
6161-UUUTA,3,Month-to-month,Fiber optic,No,No,Electronic check,79.9,4367,1,1,0.893,Very High Risk
2235-DWLJU,6,Month-to-month,DSL,No,No,Electronic check,44.4,4611,0,1,0.8928,Very High Risk
7576-OYWBN,3,Month-to-month,Fiber optic,No,No,Electronic check,76.05,2930,1,1,0.8924,Very High Risk
7508-MYBOG,14,Month-to-month,Fiber optic,No,No,Electronic check,86.1,2177,1,1,0.8924,Very High Risk
8258-GSTJK,3,Month-to-month,Fiber optic,No,No,Electronic check,77.0,3128,1,1,0.8923,Very High Risk
2868-MZAGQ,1,Month-to-month,Fiber optic,No,No,Electronic check,79.25,5533,1,1,0.8922,Very High Risk
9451-LPGOO,7,Month-to-month,Fiber optic,No,No,Electronic check,86.8,3780,1,1,0.8919,Very High Risk
0365-BZUWY,17,Month-to-month,Fiber optic,No,No,Electronic check,102.55,3803,0,1,0.8919,Very High Risk
6583-KQJLK,15,Month-to-month,Fiber optic,No,No,Electronic check,94.65,5868,0,1,0.8918,Very High Risk
0722-TROQR,4,Month-to-month,Fiber optic,No,No,Electronic check,74.9,2122,1,1,0.8916,Very High Risk
1853-UDXBW,1,Month-to-month,Fiber optic,No,No,Electronic check,70.0,2485,1,1,0.8915,Very High Risk
7903-CMPEY,1,Month-to-month,Fiber optic,No,Yes,Electronic check,80.3,4138,1,1,0.8915,Very High Risk
5685-IIXLY,5,Month-to-month,Fiber optic,No,No,Electronic check,83.6,4565,1,1,0.8915,Very High Risk
6230-BSUXY,1,Month-to-month,Fiber optic,No,No,Electronic check,85.0,2650,1,1,0.8914,Very High Risk
1452-VOQCH,1,Month-to-month,Fiber optic,No,No,Electronic check,75.1,4120,0,1,0.8913,Very High Risk
2880-FPNAE,2,Month-to-month,Fiber optic,No,No,Electronic check,74.2,3170,0,1,0.8913,Very High Risk
7817-BOQPW,2,Month-to-month,Fiber optic,No,No,Electronic check,75.55,4320,1,1,0.891,Very High Risk
4415-IJZTP,1,Month-to-month,Fiber optic,No,No,Electronic check,74.5,2016,1,1,0.8909,Very High Risk
1761-AEZZR,1,Month-to-month,Fiber optic,No,No,Electronic check,79.55,5593,1,1,0.8909,Very High Risk
7594-RQHXR,1,Month-to-month,Fiber optic,No,No,Electronic check,79.6,3108,1,1,0.8907,Very High Risk
